Code,Title,Description,Related Job Titles,Tasks
3512,Ship and hovercraft officers,"Ship and hovercraft officers command and navigate ships and other craft, co-ordinate the activities of officers and deck and engine room ratings, operate and maintain communications equipment on board ship and undertake minor repairs to engines, boilers and other mechanical and electrical equipment.","- Chief engineer (shipping)
- Marine engineer (shipping)
- Merchant navy officer
- Petty officer
- Tug master
- Yacht skipper","- allocates duties to ship's officers and co-ordinates and directs the activities of deck and engine room ratings
- directs or undertakes the operation of controls to inflate air cushions, run engines and propel and steer ships, hovercraft and other vessels
- locates the position of vessel using electronic and other navigational aids such as charts and compasses and advises on navigation where appropriate
- monitors the operation of engines, generators and other mechanical and electrical equipment and undertakes any necessary minor repairs
- maintains radio contact with other vessels and coast stations
- prepares watch keeping rota and maintains a look-out for other vessels or obstacles
- maintains log of vessel's progress, weather conditions, conduct of crew, etc"
3520,Legal associate professionals,Legal associate professionals provide administrative support for legal professionals and investigate and make recommendations on legal matters that do not fall within the province of a normal court of law.,"- Barrister's clerk
- Compliance officer
- Law costs draftsman
- Legal assistant
- Litigator
- Paralegal assistant","- runs chambers on behalf of principals, develops the practice, manages the flow of work, decides which cases to accept, arranges appropriate fees and prepares financial records
- ensures judges have the necessary legal other documents, manages their diary and carries out other administrative duties collates information, drafts briefs and other documents
- attends court to assist barristers and solicitors in the presentation of a case
- ensures their organisation complies with relevant regulations and their organisational policies
- assists in all aspects of probate and common law practice
- draws up schedules of legal costs and advises on the allocation of legal costs and the level of legal fees"
3531,Brokers,"Brokers deal in commodities, stocks, shares and foreign exchange on behalf of clients or on own account, broker insurance and reinsurance, and buy and sell shipping and freight space.","- Foreign exchange dealer
- Insurance broker
- Investment administrator
- Stockbroker
- Trader (stock exchange)","- advises client on the suitability of insurance schemes and places insurance on behalf of client
- discusses buying and or selling requirements of client and gives advice accordingly
- analyses information concerning market trends for commodities, financial assets and foreign exchange and advises client and employer on the suitability of investments
- records and transmits buy and sell orders for stocks, shares and bonds and calculates transaction costs
- provides independent advice on the suitability of insurance schemes and places insurance on behalf of client
- arranges the production of auction catalogues, fixes reserve prices, attends auction and bids on behalf of client, or negotiates purchase/sale by private treaty of goods not sold at auction
- obtains cargo space, fixes freight charges and signs and issues bills of loading
- collects freight charges from client and undertakes all necessary formalities concerning customs and the loading/unloading of cargo"
3532,Insurance underwriters,"Insurance underwriters identify and measure the risks associated with an activity, determine whether this risk is insurable and issue insurance policies which provide financial compensation in the event of loss.","- Account handler (insurance)
- Commercial underwriter
- Insurance inspector
- Mortgage underwriter
- Underwriter","- receives and assesses proposals and propositions for insurance from brokers and clients
- identifies and evaluates the risks associated with a proposal
- liaises with insurance surveyors, actuaries and risk managers where the risks associated with a proposal are not clear
- calculates premiums, provides quotations and, if acceptable to the client, issues policies
- ensures that the insurance policy clearly defines the liabilities accepted and any exceptions or exclusions
- negotiates terms of reinsurance contracts"
3533,Financial and accounting technicians,Financial and accounting technicians work alongside accountants and other financial professionals in managing the financial affairs of organisations.,"- Accounting technician
- Business associate (banking)
- Financial controller
- Fund administrator
- Insolvency administrator
- Managing clerk (accountancy)","- maintains profit and loss accounts, budgets, cash flow forecasts and other accounting records
- produces, collates and reports financial information for managers
- liaises with clients to ensure that payments are made on time and credit limits are not exceeded
- ensures invoices and payments are correct and sent out on time
- monitors accounting systems to determine accounts are being maintained effectively and provides information on accounting practices to auditors"
3534,Financial accounts managers,Job holders in this unit group manage client accounts or departments within financial institutions (such as banks and insurance companies) or manage a variety of financial accounts within other organisations.,"- Accounts manager
- Audit manager
- Credit manager
- Fund manager
- Mortgage unit manager
- Relationship manager (bank)","- develops and manages business accounts to increase sales of financial products
- takes responsibility for the efficient and effective operation of several business accounts
- manages teams handling insurance claims
- checks customers' credit rating with banks and credit reference agencies, and decides whether to offer credit
- establishes terms of credit and ensures timely payment by customer, renegotiates payment terms and initiates legal action to recover debts if necessary
- carries out and/or supervises general accounting and administrative work"
3541,"Estimators, valuers and assessors","Estimators, valuers and assessors plan and undertake the calculation of probable costs of civil, mechanical, electrical, electronic and other projects, estimate the value of property and chattels, and investigate insurance claims to assess their validity and to assign liability.","- Claims assessor
- Claims investigator
- Engineering surveyor
- Estimator
- Loss adjuster
- PPI case handler
- Valuer","- examines plans, drawings, specifications, parts lists, etc. and specifies the materials and components required
- assesses condition, location, desirability and amenities of property to be valued
- assesses costs of materials, labour and other factors such as required profit margins, transport costs, tariffs and fare structures, possible hazards, etc.
- prepares comprehensive estimates of time and costs and presents these in report or tender form
- examines insurance documents to assess extent of liability and gathers information about incident from police, medical records, ship's log, etc. and investigates potential fraudulent claims"
3542,Importers and exporters,Importers and exporters buy commodities from overseas for the home market and sell home-produced commodities to overseas markets.,"- Export coordinator
- Exporter
- Import agent
- Importer
- Shipping agent","- investigates and evaluates home and overseas demand for commodities
- obtains orders from buyers and arranges payment by bill of exchange, letter of credit or other means
- arranges for shipment of commodities overseas and ensures that insurance and export licences are in order
- carries out customs clearance procedures for imports, arranges their storage and delivery and sells them personally or through a commodity broker
- advises home and overseas producers on the likely future demand for their goods"
3543,Project support officers,"Project support officers assist in the organisation, planning, monitoring and direction of a project and ensure it is adequately resourced and on schedule.","- Planning assistant
- Project administrator
- Project analyst
- Project coordinator
- Project officer
- Service delivery coordinator","- analyses project components, organises them into a logical sequence and establishes the minimum time required for the project
- creates and maintains a project timetable, helps ensure the project proceeds on schedule and manages relevant administrative elements of the project
- advises on project procedures and assists the project team in decision making
- liaises with and ensures effective communication between the project team, other departments, the project manager, the client and/or senior management
- monitors the progress of the project and provides updates to project team, clients and other stakeholders"
3544,Data analysts,Data analysts gather and organise a variety of data and analyse it to understand what it means for their organisation or society.,"- Data analyst
- Data officer
- Data quality analyst
- Information management analyst
- Organisation and methods analyst","- gathers, cleans and collates datasets and develops data management processes and policies
- analyses data to identify trends and patterns in a variety of fields, such as opinion polling, predicting demand for goods and services, or the testing of new medications
- creates visual representations of data, such as data dashboards and graphs
- presents findings for technical or non-technical audiences to inform the decisions of companies, government or other organisations"
3549,Business associate professionals n.e.c.,"Job holders in this unit group advise on the effectiveness of an organisation�s procedures, systems and methods and perform other business and related functions not elsewhere classified in MINOR GROUP 354: Business Associate Professionals.","- Business support officer
- Marine consultant
- Methods engineer
- O&M consultant
- Party agent (political party)","- studies department or problem area and assesses its interrelationships with other activities
- studies work methods and procedures by measuring work involved and computing standard times for specified activities, and produces report detailing suggestions for increasing efficiency and lowering costs
- purchases services, receives payment from clients, processes contracts and deals with contractual arrangements
- canvasses political opinion, writes and distributes leaflets, writes and distributes press releases and other such material to promote the image and policies of a political party or election candidate, arranges fund raising activities, and organises and participates in election campaigns"
3551,Buyers and procurement officers,"Buyers and procurement officers organise and undertake the buying of raw materials, equipment and merchandise from manufacturers, importers, wholesalers and other sources for wholesale distribution, resale or for own internal use.","- Bid writer
- Buyer
- Procurement officer
- Purchasing consultant
- Supply planner","- attends trade fairs, shows and demonstrations to research new product lines and suppliers, checks catalogues
- keeps up with market trends and chooses products/services
- assesses budgetary limitations and customer requirements and decides on quantity, type, range and quality of goods or services to be bought
- assesses bids from suppliers, finds suppliers and negotiates prices
- helps negotiate contract with supplier and specifies details of goods or services required
- looks at ways to improve supply networks, presents new ideas to senior management team
- ensures that delivered items comply with order, monitors quality of incoming goods and returns unsatisfactory or faulty items, monitors performance and makes sure targets are met
- supervises clerical, administrative and warehouse distribution staff, deals with recruitment and training
- works closely with merchandisers who allocate stock and develop sales forecasts
- maintains records and prepares reports as necessary"
3552,Business sales executives,"Business sales executives provide advice to existing and potential customers, and receive orders for specialist machinery, equipment, materials and other products or services that require technical knowledge.","- Corporate account executive
- Sales agent
- Sales consultant
- Sales executive
- Technical representative","- discusses customer requirements and advises them on the capabilities and limitations of the goods or services being sold
- quotes prices, credit details, delivery dates and payment arrangements and arranges for delivery and installation of goods if appropriate
- makes follow up visits to ensure customer satisfaction and to obtain further orders
- stays abreast of advances in product/field and suggests possible improvements to product or service
- maintains records and accounts of sales made and handles customer complaints"
3553,Merchandisers,"Merchandisers ensure that stores are supplied with goods, liaise with suppliers, decide on pricing and promotions and advise retailers on the optimum display of merchandise.","- Demand planner
- Merchandiser
- Sales merchandiser
- Supply chain analyst","- monitors stock levels and manages the movement of goods
- predicts future demand and negotiates the supply and price of goods to ensure stores are stocked
- analyses customer requirements, the needs of individual stores and the organisation, and works with suppliers to develop a product range
- supplies information about products to the retailer and sales staff
- consults with advertising and sales staff and advises retailers on the optimal display of a product and of any promotions
- provides feedback about sales to senior managers"
3554,Marketing associate professionals,"Marketing associate professionals assist in the development and implementation of projects which aim to elicit the preferences and requirements of consumers, businesses and other specified target groups so that suppliers may meet these needs.","- Brand ambassador
- Business development executive
- Fundraiser
- Marketing consultant
- Marketing executive","- discusses business methods, products or services and targets customer group with employer or client to identify marketing requirements
- collates and interprets findings of market research and presents results to clients
- through market research, discusses possible changes that need to be made in terms of design, price, packaging, promotion etc
- develops digital marketing strategies, such as the use of social media, to promote products, brands or services and presents options to the client
- briefs advertising team on client requirements, monitors the progress of advertising campaigns and liaises with client on potential modifications"
3555,Estate agents and auctioneers,"Estate agents and auctioneers arrange for the valuation, sale, purchase, rental and leasing of property on behalf of clients.","- Auctioneer
- Auctioneer and valuer
- Estate agent
- Letting agent
- Property consultant
- Sales negotiator","- discusses client's requirements and may advise client on the purchase of property and land for investment and other purposes
- conducts or arranges for structural surveys of properties and undertakes any necessary valuations of property or agricultural land
- advises vendors and purchasers on market prices of property, accompanies clients to view property
- markets the property on behalf of the vendor, prepares written information and press advertisements
- negotiates land or property purchases, sales, leases or tenancy agreements and arranges legal formalities with solicitors, building societies and other parties
- makes inventories of property for sale, advises vendor of suitable reserve price, issues catalogues, conducts auction, notes bids and records sale"
3556,Sales accounts and business development managers,"Sales accounts and business development managers plan, organise and undertake market research to meet the requirements of an organisation�s marketing and sales policies.","- Account manager (sales)
- Area sales manager
- Business development manager
- Product development manager
- Sales manager","- liaises with other senior staff to determine the range of goods or services to be sold, contributes to the development of sales strategies and setting of sales targets
- discusses employer's or client's requirements, carries out surveys and analyses customers' reactions to product, packaging, price, etc.
- compiles and analyses sales figures, prepares proposals for marketing campaigns and promotional activities and undertakes market research
- handles customer accounts
- recruits and trains junior sales staff
- produces reports and recommendations concerning marketing and sales strategies for senior management
- keeps up to date with products and competitors"
3557,Conference and exhibition managers and organisers,"Job holders in this unit group manage, organise and coordinate business conferences, exhibitions and similar events.","- Conference coordinator
- Event organiser
- Events manager
- Exhibition organiser
- Hospitality manager
- Production manager (corporate hospitality)","- discusses conference and exhibition requirements with clients and advises on facilities
- develops proposal for the event, and presents proposal to client
- allocates exhibition space to exhibitors
- plans work schedules, assigns tasks, and co-ordinates the activities of designers, crafts persons, technical staff, caterers and other events staff
- liaises closely with venue staff to ensure smooth running of the event
- ensures that Health and Safety and other statutory regulations are met"
3560,Public services associate professionals,"Public services associate professionals supervise, manage and undertake general administrative work in national and local government departments, organise the activities of local offices of national government departments, and promote the image and understanding of an organisation and its products and services to consumers and other specified audiences.","- Civil servant (HEO, SEO)
- Higher executive officer (government)
- Principle revenue officer (local government)
- Senior executive officer (government)
- Team leader (local government)","- manages the activities of government office staff, assigns tasks and responsibilities and makes changes in procedures to deal with variations in workload
- assists senior government officers with policy work, external liaison or general administrative work
- supervises a variety of administrative functions in government departments such as recruitment and training, the negotiation and arrangement of contracts, building and capital management, monitoring and authorising department expenditure etc.
- organises resources for the acceptance and recording of vacancy details, the selection of suitable applicants and other Job Centre activities
- authorises the payment of social security benefits, assesses the financial circumstances of claimants and investigates any state insurance contribution problems
- undertakes supervisory duties specific to the operation of Revenue and Customs offices, Job Centres, Benefits Agency offices and other local offices of national government
- advises the public or companies on general tax problems and arranges for the issue, receipt and examination of tax forms, assessment of PAYE codes and the computation of tax arrears and rebates
- discusses business strategy, products, services and target client base with management to identify public relations requirements
- writes, edits and arranges for the distribution of press releases and other public relations material, addresses target groups through meetings, presentations, the media and other events to enhance the public image of the organisation, and monitors and evaluates its effectiveness"
3571,Human resources and industrial relations officers,"Human resources and industrial relations officers conduct research, analyse data and advise on recruitment, training, staff appraisal and industrial relations policies and assist specialist managers with negotiations on behalf of a commercial enterprise, trade union or other organisation.","- Employment consultant
- Human resources advisor
- Human resources analyst
- Recruitment consultant
- Talent attraction consultant","- undertakes research and analyses data on pay differentials, productivity and efficiency bonuses and other payments
- develops and recommends personnel and industrial relations policies, assists with their implementation and drafts staff handbooks
- assists with negotiations between management and employees or trades unions concerning pay and conditions of employment
- interviews candidates for jobs
- advises on training and recruitment, negotiating procedures, salary agreements and other personnel and industrial relations issues
- deals with grievance and disciplinary procedures, and with staff welfare and counselling provision"
3572,Careers advisers and vocational guidance specialists,"Job holders in this unit group give advice on careers or occupations, training courses and related matters, direct school leavers and other job seekers into employment and assess their progress.","- Careers adviser
- Careers consultant
- Careers teacher
- Personal advisor
- Placement officer","- uses an interview, questionnaire and/or psychological or other test to determine the aptitude, preferences and temperament of the client
- advises on appropriate courses of study or avenues into employment
- visits educational and other establishments to give talks and distribute information regarding careers
- liaises with employers to determine employment opportunities and advises schools, colleges or individuals accordingly
- organises careers forums and exhibitions and establishes and maintains contact with local employers, colleges and training providers
- monitors progress and welfare of young people in employment and advises them on any difficulties"
3573,Information technology trainers,"Information technology trainers provide instruction in the use of computers for professional and personal purposes and advise on, plan and organise IT training within industrial, commercial and other establishments.","- E-learning manager
- IT trainer
- IT tutor
- Software trainer","- assesses IT training requirements of an organisation or individual and identifies the skills needed for certain roles or tasks
- develops training programme and prepares IT equipment, lectures, demonstrations and study aids
- supervises trainee development, assists trainees with difficulties and prepares regular progress reports on each trainee for management
- arranges work experience and instructional visits for trainees
- plans curriculum and rota of staff duties and updates or amends them in light of developments
- advises on training programmes and discusses progress or problems with staff and trainees"
3574,Other vocational and industrial trainers,"Job holders in this unit group provide instruction in manual, manipulative and other vocational skills and advise on, plan and organise vocational instruction within industrial, commercial and other establishments.","- NVQ assessor
- Technical instructor
- Training consultant
- Training manager","- assesses training requirements and prepares lectures, demonstrations and study aids
- supervises trainee development, assists trainees with difficulties and prepares regular progress reports on each trainee for management
- arranges work experience and instructional visits for trainees
- plans curriculum and rota of staff duties and updates or amends them in light of developments
- advises on training programmes and discusses progress or problems with staff and trainees
- devises general and specialised training courses in response to particular needs"
3581,Inspectors of standards and regulations,"Inspectors of standards and regulations undertake investigations and inspections to verify and ensure compliance with acts, regulations and other requirements in respect of: buildings, weights, measures and trade descriptions; the installation and safety of electrical, gas and water supplies and equipment; marine pollution, ships� structures, equipment and accommodation; the treatment of animals; the operation of commercial vehicles; the welfare, health and safety in factories and all work sites subject to the provisions in the Factory Acts.","- Building inspector
- Driving examiner
- Housing inspector
- Meat hygiene inspector
- Trading standards officer","- examines building plans to ensure compliance with local, statutory and other requirements
- inspects building structures, facilities and sites to determine suitability for habitation, compliance with regulations and for insurance purposes
- inspects measuring and similar equipment in factories and visits street traders, shops, garages and other premises to check scales, weights and measuring equipment
- inspects factories and other work sites to ensure adequate cleanliness, temperature, lighting and ventilation, checks for fire hazards and inspects storage and handling arrangements of dangerous materials
- visits sites during construction and inspects completed installations of electricity, gas or water supply
- draws attention to any irregularities or infringements of regulations and advises on ways of rectifying them
- investigates industrial accidents or any complaints made by the public
- verifies the weight of commercial vehicles, checks driver's licence and hours worked
- samples and tests river water, checks and advises on premises discharging effluent to prevent pollution
- checks fishing licences and prevents illegal fishing
- visits premises where animals are kept, advises on animal care and investigates complaints
- undertakes other inspections including chemicals, drugs, flight operations, etc.
- prepares reports and recommendations on all inspections made and recommends legal action where necessary"
3582,Health and safety managers and officers,Health and safety managers and officers counsel employees to ensure and promote health and safety in the workplace and co-ordinate accident prevention and health and safety measures within an establishment or organisation.,"- Asbestos surveyor
- Fire protection engineer (professional)
- Health and safety officer
- Occupational hygienist
- Safety consultant
- Safety officer","- inspects workplace areas to ensure compliance with health and safety legislation
- helps to develop effective health and safety policies and procedures and carries out risk assessments
- instructs workers in the proper use of protective clothing and safety devices and conducts routine tests on that equipment
- compiles statistics on accidents and injuries, analyses their causes and makes recommendations to management accordingly
- maintains contact with those off work due to illness
- counsels individuals on any personal or domestic problems affecting their work
- gives talks and distributes information on accident prevention and keeps up to date with the relevant legislation"
4111,National government administrative occupations,"Job holders in this unit group undertake a variety of administrative and clerical duties in national government departments, and in local offices of national government departments.","- Administrative assistant (courts of justice)
- Administrative officer (government)
- Civil servant (grades AA, AO & EO)
- Clerk (government)
- Revenue officer (government)","- assists senior government officers with policy work, external liaison or general administrative work
- undertakes administrative duties specific to the operation of HM Revenue and Customs offices, Job Centres, Benefits Agency offices and other local offices of national government
- maintains and updates correspondence, documents, data and other records for storage in files or on computer
- classifies, sorts and files publications, correspondence etc. in offices and libraries
- responds to telephone enquiries and other forms of correspondence
- performs miscellaneous clerical tasks such as proof reading printed material, drafting letters, taking minutes etc"
4112,Local government administrative occupations,Job holders in this unit group undertake a variety of administrative and clerical duties in local government offices and departments.,"- Administrative assistant (local government)
- Administrative officer (police service)
- Benefits assistant (local government)
- Clerical officer (local government)
- Local government officer
- Parish clerk","- computes cost of product/services and maintains and balances records of financial transactions
- prepares and checks invoices and verifies accuracy of records
- receives and pays out cash and cheques and performs closely related clerical duties
- updates and maintains data, correspondence and other records for storage or despatch
- arranges, classifies and indexes publications, correspondence and other material in libraries and offices
- performs other clerical duties not elsewhere classified including preparing financial information for management, proof reading printed material and drafting letters in reply to correspondence or telephone enquiries"
4113,Officers of non-governmental organisations,"Officers of non-governmental organisations perform a variety of administrative and clerical tasks in the running of trade associations, employers� associations, learned societies, trade unions, charitable organisations and similar bodies.","- Administrator (charitable organisation)
- Clerk to school governors
- Organiser (trade union)
- Secretary (research association)
- Trade union official","- maintains and updates records of membership details, subscription fees, mailing lists, etc.
- circulates and reports information of relevance to members and interested parties
- arranges meetings, conferences and other events and circulates agenda and other relevant material
- receives and responds to written correspondence and telephone enquiries from members and other organisations
- assists with fund raising activities within a specified geographical area
- prepares and provides measures of organisational activity for senior officials"
4121,Credit controllers,"Credit controllers perform financial, administrative and other tasks in relation to credit control and debt collection.","- Credit control clerk
- Credit controller
- Debt management associate
- Loans administrator","- receives requests for credit submissions and lending proposals
- arranges for investigations of the credit worthiness of individuals or companies
- deals with any enquiries or difficulties concerning the acceptance or rejection of credit applications
- checks that accounting, recording and statutory procedures are adhered to for all credit transactions
- arranges for the collection of arrears of payment"
4122,"Book-keepers, payroll managers and wages clerks","Book-keepers, payroll managers and wages clerks maintain and balance records of financial transactions, oversee the operation of payroll functions and calculate hours worked, wages due and other relevant contributions and deductions.","- Accounts administrator
- Accounts assistant
- Accounts clerk
- Auditor
- Bookkeeper
- Payroll manager","- records and checks accuracy of daily financial transactions
- prepares provisional balances and reconciles these with appropriate accounts
- supervises payroll team and develops payroll systems and procedures
- calculates and records hours worked, wages due, deductions and voluntary contributions
- processes holiday, sick and maternity pay and travel and subsistence expenses
- compiles schedules and distributes or arranges distribution of wages and salaries
- calculates costs and overheads and prepares analyses for management"
4123,Bank and post office clerks,"Bank and post office clerks deal with the payment and receipt of money, cheques and other routine financial transactions and open and close accounts. They advise upon financial products and services offered by banks, building societies and post offices.","- Bank clerk
- Cashier (banking)
- Customer service adviser (building society)
- Customer service officer (banking)
- Post office clerk","- deals with enquiries from customers, other banks and other authorised enquirers
- maintains records of transactions and compiles information
- advises customers on financial services and products available
- manages the operations of a sub-post office
- receives and pays out cash, cheques, money orders, credit notes, foreign currency or travellers cheques
- provides postal services, pays state pensions, unemployment and other state benefits to claimants, supplies official forms and documentation to the public, and performs other tasks specific to the activities of a post office"
4124,Finance officers,"Finance officers oversee book-keeping, general accounting and other financial and related clerical functions mainly within local government and a variety of public sector organisations.","- Finance officer
- Financial officer (local government)
- Regional finance officer (PO)","- oversees the recording and checking of daily financial transactions, the preparation of provisional balances and reconciliation of accounts
- prepares or arranges the preparation of financial reports for managers
- plans work schedules and assigns tasks to financial clerks
- coordinates the activities and resources of finance departments"
4129,Financial administrative occupations n.e.c.,Job holders in this unit group carry out a variety of finance-related administrative functions not elsewhere classified in MINOR GROUP 412: Administrative Occupations: Finance.,"- Cashier
- Finance administrator
- Finance assistant
- Legal cashier
- Tax assistant
- Treasurer
- Valuation assistant","- receives and pays out cash to customers in non-financial organisations such as turf accountants
- sells tickets in theatre and cinema box offices, sports stadiums etc.
- performs duties as cashier in schools, local government and other public sector organisations, legal and insurance services
- administers grants and student loans in educational institutions
- carries out clerical tasks in stockbroking companies, banking and credit card companies"
4131,Records clerks and assistants,"Records clerks and assistants maintain and update electronic and/or hard copy documents, correspondence and other records, and organise their storage.","- Admissions officer
- Clerical officer (hospital service)
- Examinations officer (education)
- Filing clerk
- Records clerk
- Ward clerk","- examines and sorts incoming material
- classifies, files, archives and locates documents and other records
- copies or duplicates documents or other records
- performs specialised clerical tasks in connection with conveyancing, litigation and the maintenance of medical records"
4132,Pensions and insurance clerks and assistants,Pensions and insurance clerks and assistants provide general clerical support to senior colleagues and perform specialist clerical tasks in relation to the administration of pensions and insurance policies.,"- Administrator (insurance)
- Claims handler
- Clerical assistant (insurance)
- Insurance clerk
- Pensions administrator","- answers queries from clients and assists in interpreting and completing information requested on forms
- checks forms completed by clients and contacts clients to obtain additional information or to clarify details
- makes arrangements for financial advisers to visit clients and potential customers
- transfers information from application forms and other documentation to computerised records
- receives notice of changes to personal circumstances and updates files
- issues application forms, policy documents, reminders, claims forms and other standard documentation
- performs general clerical duties to support senior staff"
4133,Stock control clerks and assistants,"Stock control clerks and assistants receive orders from customers, prepare requisitions or despatch documents for ordered goods, maintain and update records, files and other correspondence in relation to the storage and despatch of goods.","- Auditor (stock control)
- Despatch clerk
- Material controller
- Stock controller
- Stores administrator
- Supply chain coordinator","- receives and checks in deliveries from suppliers or completed stock to be despatched to customers
- allocates appropriate storage space in accordance with stock control and space utilisation policies
- receives enquiries and orders from customers, and quotes prices, discounts, delivery dates and other relevant information
- prepares requisitions, consignments and other despatch documents
- checks requisitions against stock records and forwards to issuing department
- adjusts stock records as orders are received, reports on damaged stock and prepares requisitions to replenish damaged stock"
4134,Transport and distribution clerks and assistants,Workers in this unit group perform various clerical functions relating to the transport and distribution of goods and freight.,"- Cargo agent
- Export clerk
- Freight administrator
- Logistics coordinator
- Shipping clerk
- Transport clerk","- processes customer orders and forwards requisition documentation to storage and distribution personnel
- formulates delivery loads, vehicle schedules and routes to be followed by delivery staff
- monitors tachograph readings and maintains records of hours worked and distance travelled by drivers
- obtains customs clearance and processes import and export documentation necessary for the movement of goods between countries
- maintains records regarding the movement and location of freight, containers and staff"
4135,Library clerks and assistants,"Library clerks and assistants classify, sort and file publications, documents, audio-visual and computerised material in libraries and offices.","- Archives assistant (library)
- Information assistant (library)
- Learning resource assistant
- Library assistant
- Library clerk
- Library supervisor","- sorts, catalogues and maintains library records
- locates and retrieves material on request for borrowers
- issues library material and records date of issue/ due date for return
- classifies, labels and indexes new books
- performs simple repairs on old books"
4136,Human resources administrative occupations,Job holders in this unit group provide administrative support for the human resources (HR) operations within organisations.,"- Course administrator
- Human resources administrator
- Personnel administrator
- Personnel clerk
- Training administrator","- supports senior HR staff in the development and implementation of HR and industrial relations policies
- arranges advertisements for jobs in the relevant media
- provides practical support for recruitment and selection procedures such as checking application forms, arranging interviews of candidates and ensuring the interview panel receive all relevant documentation
- provides administrative support for training courses, work placements etc
- implements and maintains HR records systems"
4141,Office managers,"Office managers plan, organise and co-ordinate the activities and resources of offices within commercial, industrial and other non-governmental organisations and public agencies. (National and local government office managers are classified to unit group 3561: Public services associate professionals.)","- Business support manager
- Office manager
- Practice manager
- Sales administration manager
- Sales office manager","- plans work schedules, assigns tasks and delegates responsibilities
- advises on the handling of all correspondence and enquiries relating to accounts, sales, statistical and vacancy records
- ensures that procedures for considering, issuing, amending and endorsing insurance policies are adhered to
- plans, organises and co-ordinates the activities and resources�of other offices not elsewhere classified including box offices, other ticket offices and accommodation bureaux"
4142,Office supervisors,"Office supervisors oversee operations and directly supervise and coordinate the activities of those carrying out general administrative and clerical work and performing specialist administrative and clerical duties in relation to finance, records, sales and other services to a variety of commercial, industrial and other non-governmental organisations and public agencies.","- Administration supervisor
- Clerical supervisor
- Facilities supervisor
- Office supervisor","- directly supervises and coordinates the activities of office staff
- establishes and monitors work schedules to meet the organisation's requirements
- liaises with managers and other senior staff to resolve operational problems
- determines or recommends staffing and other needs to meet the organisation's requirements
- reports as required to managerial staff on work-related matters"
4143,Customer service managers,"Job holders in this unit group plan, organise and co-ordinate resources necessary for receiving and dealing with the responses, complaints or further requirements of purchasers and users of a product or service, and manage customer service occupations.","- After sales manager
- Call centre manager
- Customer care manager
- Customer service manager","- develops and implements policies and procedures to deal effectively with customer requirements and complaints
- co-ordinates and controls the work of those within customer services departments
- discusses customer responses with other managers with a view to improving the product or service provided
- plans and co-ordinates the operations of help and advisory services to provide support for customers and users"
4151,Sales administrators,"Sales administrators provide support to the process of selling equipment, materials and other products or services.","- Online sales assistant
- Marketing administrator
- Sales administrator
- Sales coordinator","- provides information to customers on products and prices
- help customers to place orders online through social media platforms
- fields telephone enquiries from prospective customers on behalf of the sales team
- prepares sales invoices and maintains records and accounts of sales activity
- handles customer complaints or forwards them to relevant member of sales team
- carries out general sales and marketing administrative duties"
4152,Data entry administrators,Job holders in this unit group enter a variety of information into databases using various software packages and assist colleagues in retrieving information.,"- Data administrator
- Database assistant
- Data entry clerk
- Database inputter","- enters customers' personal details and other Information into a database using the appropriate software
- transfers paper-based information into electronic databases
- updates records, such as sales or patient data
- updates website product descriptions and details
- assists other employees and/or customers in accessing information
- analyses data to identify trends and patterns"
4159,Other administrative occupations n.e.c.,"Job holders in this unit group are responsible for recording, filing and disseminating information for a business, organisation or individual not elsewhere classified in MINOR GROUP 415: Other Administrative Occupations","- Administrator
- Administrative assistant
- Clerical assistant
- Clerk
- Facilities coordinator
- Office assistant
- Proof reader","- stores information by filling in forms, writing notes and filing records
- types reports, memos, notes, minutes and other documents
- receives and distributes incoming and outgoing correspondence
- checks figures, prepares invoices and records details of financial transactions made"
4211,Medical secretaries,"Medical secretaries deal with correspondence, make appointments and handle patients� queries file and maintain medical and other records transcribe notes and dictation and perform other clerical tasks in hospitals/surgeries and other medical establishments.","- Clinic coordinator
- Clinic administrator
- Medical administrator
- Medical secretary
- Secretary (medical practice)","- sorts and files correspondence and maintains diary of the person/s for whom he/she works
- transcribes dictation into required format
- maintains patients' records and arranges appointments
- answers enquiries and refers patient to appropriate experts
- organises and attends meetings and takes minutes of proceedings
- books resources such as rooms and refreshments, and orders stationery and other supplies as appropriate"
4212,Legal secretaries,"Legal secretaries file and maintain legal and other records, transcribe notes and dictation into typewritten form and perform other routine clerical tasks in legal practices.","- Legal administrator
- Legal clerk
- Legal secretary
- Secretary (legal services)","- types letters and legal documents such as wills and contracts
- maintains court and clients' records, organises diaries and arranges appointments
- answers enquiries and directs clients to appropriate experts
- attends meetings and keeps records of proceedings
- delivers and collects documents
- sorts and files correspondence and carries out general clerical work"
